id,home_project,project_count,issue_count,avg_bot_ratio
deekayzain,apache_apisix,1,5,0.4
jerrychenhf,apache_apisix,1,1,0.0
wizhuo,apache_apisix,1,1,0.0
reuben-he,apache_apisix,1,1,1.0
anhuiyu,apache_apisix,1,1,0.0
rauanmayemir,apache_apisix,1,3,0.3333333333333333
xgenvn,apache_apisix,1,2,1.0
cyrnicolase,apache_apisix,1,3,0.3333333333333333
rodman10,apache_apisix,1,3,0.0
ssignik,apache_apisix,1,1,0.0
chiliast123,apache_apisix,1,6,0.0
ventaubain,apache_apisix,1,4,0.0
kingluo,apache_apisix,1,93,0.23655913978494625
luoluoyuyu,apache_apisix,1,27,0.1111111111111111
Jijingling,apache_apisix,1,1,0.0
SparkLee,apache_apisix,1,1,0.0
chenghongxi,apache_apisix,1,1,0.0
huacnlee,apache_apisix,1,4,0.25
jaysonsantos,apache_apisix,1,7,0.14285714285714285
naveensrinivasan,apache_apisix,1,3,0.0
rastiehaiev,apache_apisix,1,2,0.0
qyk1995,apache_apisix,1,9,0.2222222222222222
sumeng001,apache_apisix,1,1,1.0
circlelychen,apache_apisix,1,2,1.0
5279314,apache_apisix,1,1,0.0
Radu-Iuonac,apache_apisix,1,4,0.0
xxoxx,apache_apisix,1,3,0.6666666666666666
RogueJin,apache_apisix,1,2,0.0
kamly,apache_apisix,1,5,0.0
Affanmir,apache_apisix,1,2,0.0
sheharyaar,apache_apisix,1,28,0.17857142857142858
cataglyphis,apache_apisix,1,3,0.0
dobkovski,apache_apisix,1,1,1.0
boekkooi-lengoo,apache_apisix,1,8,0.375
guankai,apache_apisix,1,2,0.0
wanghaolonggit,apache_apisix,1,2,1.0
jack01234,apache_apisix,1,2,0.0
wzy0618,apache_apisix,1,1,0.0
szhengli,apache_dubbo,2,3,0.0
scoolor,apache_apisix,1,2,0.0
liyuq6,apache_apisix,1,1,0.0
chrbo,apache_apisix,1,2,0.5
polaru,apache_apisix,1,3,0.3333333333333333
think4code,apache_apisix,1,6,0.6666666666666666
theroys,apache_apisix,1,1,0.0
moecasts,apache_apisix,1,2,1.0
GuyT2002,apache_apisix,1,2,0.5
kodxxl,apache_apisix,1,2,0.5
agile6v,apache_apisix,1,25,0.04
w7team,apache_apisix,1,4,0.0
worldwonderer,apache_apisix,1,3,0.3333333333333333
lxz999,apache_apisix,1,11,0.2727272727272727
Gallardot,apache_apisix,1,15,0.0
appleconda,apache_apisix,1,1,0.0
sy-yan,apache_apisix,1,1,1.0
chaudum,apache_apisix,1,1,1.0
purekeeper,apache_apisix,1,12,0.5
oyiadin,apache_apisix,1,9,0.3333333333333333
xialp,apache_apisix,1,1,0.0
beginnerWJC,apache_apisix,1,1,0.0
qlql489,apache_apisix,1,3,0.3333333333333333
dingdingkaifa,apache_apisix,1,1,0.0
nphariharan,apache_apisix,1,3,0.0
monlor,apache_apisix,1,1,1.0
lvillis,apache_apisix,1,2,0.0
jonathan-dev,apache_apisix,1,4,0.25
GuoMonth,apache_apisix,1,1,1.0
karl-chanel,apache_apisix,1,7,0.0
Nobilta,apache_apisix,1,11,0.36363636363636365
TakiJoe,apache_apisix,1,2,0.5
deluxor,apache_apisix,1,1,1.0
zsmlinux,apache_apisix,1,8,0.375
csotiriou,apache_apisix,1,3,0.0
jj701,apache_apisix,1,1,1.0
pavlenkodev,apache_apisix,1,8,0.125
yujinchoi-94,apache_apisix,1,6,0.3333333333333333
zhouzexiang,apache_apisix,1,1,0.0
find404,apache_apisix,1,3,0.0
lplcc,apache_apisix,1,1,1.0
lmboom,apache_apisix,1,1,0.0
jensonfunfun,apache_apisix,1,3,0.3333333333333333
channer99,apache_apisix,1,1,0.0
king4sun,apache_apisix,1,1,0.0
t2krew,apache_apisix,1,1,0.0
juaby,apache_apisix,1,1,1.0
cczchunge,apache_apisix,1,2,0.0
hxhieu,apache_apisix,1,1,0.0
satishviswanathan,apache_apisix,1,3,0.6666666666666666
yanmxa,apache_apisix,1,3,0.0
eifcode,apache_apisix,1,1,0.0
gigi206,apache_apisix,1,1,0.0
EmptyNest111,apache_apisix,1,1,1.0
dannyboodmann,apache_apisix,1,1,1.0
senolatac,apache_apisix,1,1,1.0
liangpeihuahua,apache_apisix,1,4,0.75
Vacant2333,apache_apisix,1,49,0.32653061224489793
god12311,apache_apisix,1,4,0.75
iarno,apache_apisix,1,1,1.0
lijiawen,apache_apisix,1,1,0.0
caojianfei,apache_apisix,1,1,0.0
Routerch,apache_apisix,1,1,0.0
whatbug,apache_apisix,1,4,0.0
yujiapingyu,apache_apisix,1,1,0.0
yuqiquan,apache_apisix,1,10,0.3
ttpaigesheng,apache_apisix,1,1,0.0
yazebochan,apache_apisix,1,3,0.3333333333333333
wangkpot,apache_apisix,1,4,0.5
oubeichen,apache_apisix,1,1,0.0
willzhang,apache_apisix,1,1,0.0
17680313722,apache_apisix,1,1,0.0
vector4wang,apache_apisix,1,1,0.0
yongxiaodong,apache_apisix,1,2,0.5
swo-ralf,apache_apisix,1,1,0.0
Wasta-Geek,apache_apisix,1,1,0.0
mc-round2,apache_apisix,1,2,1.0
pdsam,apache_apisix,1,1,1.0
dramenk,apache_apisix,1,1,0.0
Monstergogo,apache_apisix,1,1,0.0
WrightKD,apache_apisix,1,2,0.0
RitterHou,apache_apisix,1,1,0.0
Tridu33,apache_apisix,1,1,1.0
lisea2017,apache_apisix,1,1,0.0
Fijileijun,apache_apisix,1,6,0.16666666666666666
wodingyang,apache_apisix,1,9,0.5555555555555556
jeremy1392,apache_apisix,1,1,0.0
theweakgod,apache_apisix,1,20,0.4
Kozatoo,apache_apisix,1,2,0.0
ZappaBoy,apache_apisix,1,1,0.0
giangnh13579,apache_apisix,1,1,0.0
wingyiu,apache_apisix,1,1,0.0
destinyzju,apache_apisix,1,1,1.0
zhjdhx,apache_apisix,1,2,0.0
DokiDoki1103,apache_apisix,1,4,0.25
GuoFlight,apache_apisix,1,1,1.0
gxproject,apache_apisix,1,1,0.0
dsanchez31,apache_apisix,1,1,0.0
JonathanDagan,apache_apisix,1,1,0.0
haoyang1994,apache_apisix,1,1,0.0
gliffcheung,apache_apisix,1,1,1.0
liu1004010308,apache_apisix,1,1,0.0
kuzds,apache_apisix,1,3,0.0
Lewisyixin,apache_apisix,1,6,0.3333333333333333
flyhawkxjtu,apache_apisix,1,1,0.0
waney316,apache_apisix,1,1,0.0
JoonaHa,apache_apisix,1,2,0.0
alifahadk,apache_apisix,1,1,0.0
SalvaChiLlo,apache_apisix,2,3,1.0
p404,apache_apisix,1,1,1.0
swtseaman,apache_apisix,1,9,0.2222222222222222
ldcsaa,apache_dubbo,2,10,0.0
junhao69535,apache_apisix,1,1,0.0
zhuoyang,apache_apisix,1,2,0.0
Cheol-Soon-Choi,apache_apisix,1,4,0.25
ikatlinsky,apache_apisix,1,5,0.0
faltakam,apache_apisix,1,1,0.0
zmaren,apache_apisix,1,1,0.0
AmerDwight,apache_apisix,1,6,0.5
Richard0706,apache_apisix,1,1,0.0
basuotian,apache_apisix,1,2,0.0
wenj91,apache_apisix,1,1,1.0
